player_id,2008,2009,2010,2011,2012,2013,2014,2015,2016
34480,,8635,,,,,,,
38388,,8635,8635,8635,8635,8635,8635,8635,8635
26458,,8635,9803,10228,10228,10228,8277,8277,8277
13423,,8635,8635,8635,8635,8635,8197,8197,8197
38389,,8635,8635,8635,8635,,,,
38798,,8635,8464,8464,9998,9998,,,
30949,,8635,8635,8635,8721,8721,8721,,
38253,,8635,8635,8635,8635,8635,7794,7794,9830
106013,,8635,,,,,7844,7844,7844
38383,,8635,8635,8635,,,,,9991
46552,,8635,8635,8635,8635,,8635,8635,8635
37937,,9987,8525,9997,9997,,9994,9994,9994
38293,,9987,9987,9987,,,,,9994
148313,,9987,9987,9997,9997,,,,
104411,,9987,9987,9987,9987,9991,8475,274581,274581
148314,,9987,9987,9987,9987,9987,9987,9987,10242
37202,8302,9987,,,,,,,
43158,,9987,9987,9987,9880,,,,
9307,,9987,9839,9839,,,,,
42153,,9987,9987,9987,9987,9987,,,
32690,8611,9987,9987,9989,9989,,,,
38782,,9984,9987,9987,9987,9987,9987,8342,8342
38252,,9998,,,,,,,
39156,,9998,,,,,,,
39151,,9998,,,,,,,
166554,,9998,,,,,,,
15652,,9998,,,,,,,
39145,,9998,9986,8203,8203,8203,8203,10000,10000
46890,,9998,,,10211,,,,
38947,,9998,,,9998,9998,,,
46881,,9998,,,10211,10211,8027,,
39158,,9998,,,,,,,
119118,,9998,9986,,,,10215,,
36835,,9984,9984,9984,9984,9984,,,
37047,,9984,9984,9984,,,,,
37021,,9984,9984,9984,9984,9984,,,
38186,,9984,9984,,,,,,
27110,,9984,9984,9984,9984,9984,,,
32863,,9984,9987,9987,9987,9987,9987,9987,9987
37957,,9984,9984,9984,,,,,
37909,,9984,9984,9984,,,,,
104386,,9984,9984,9993,9993,9998,,,
38251,,9984,9984,9984,,,,,
37065,,9984,9991,9991,9991,8475,8571,8571,8571
37990,,8342,8342,9993,9993,9993,,,
21812,,8342,8342,,,,,,
11736,,8342,8528,8528,8528,8528,8668,8668,
37858,,8342,8342,9987,9987,9987,9987,,
38366,,8342,8342,8342,8342,8342,,9850,9850
37983,,8342,9985,9997,9997,,,,
39578,,8342,8342,1773,1773,1773,9986,9986,
38336,,8342,8342,8342,8342,,9829,9829,9829
52280,,8342,8342,8342,8635,8635,,,
27423,,8342,9989,9989,9989,8475,,,
38440,,8342,8342,8342,8697,8697,,8573,8573
37900,,10000,10000,10000,10000,10000,10000,10000,10000
37886,,10000,10000,10000,10000,10000,10000,10000,
37903,,10000,10000,10000,,,,,
37889,,10000,8611,8611,8342,,9984,8464,
94030,,10000,9994,9994,9994,,,,
37893,,10000,10000,10000,,,,,
37981,,10000,10000,1773,,,,,
131531,,10000,10000,9985,10000,10000,8573,8573,8573
130027,,10000,10000,9987,9987,9987,9987,10001,10001
38231,,10000,10000,8571,8571,8571,,,
131530,,10000,10000,10000,8571,8571,8571,9991,9991
38327,,8203,8203,,8203,8203,8203,8573,8573
36393,,8203,,,,,,,
67950,,8203,8203,8203,8203,10219,10219,,
67941,,8203,8203,8203,8203,,,,8203
67958,,9908,9908,9908,9908,9908,9991,9991,9991
37112,,8203,8203,8203,8203,9987,9987,9987,
67959,,8203,8203,8203,8203,8203,8203,,
148286,,8203,8203,,9993,9993,,,
164352,,8203,,,,,,,
67898,,8203,9994,9994,9994,9994,9994,9994,
33657,,8464,8464,8342,8342,,,,
31316,,8635,8635,9993,,,,,
164694,,8635,8635,9989,,,,,
38378,,8635,8635,8635,,,,9985,
38393,,8635,8635,8635,8635,8543,8543,8543,8543
37069,,8635,8635,8635,8635,8635,8342,8342,
38785,,9987,9987,9987,,,9989,,
37051,,9984,9984,9984,1773,9984,,,
38357,,9984,9984,9984,9984,,,,
78462,,9984,,,,,,,
38318,,9999,9999,,,,,,
38247,,9999,9999,,,,,,
16387,,8571,8571,,,,,,
94288,,9999,9999,,,,,,
94284,,9999,9999,8203,8203,8203,8571,8571,8571
45832,,9999,,,,,,,
26669,,9999,,,,,,,
33671,,9999,9999,,,,,,
163670,,8342,8342,8342,9789,8721,8721,8721,8636
37945,,9999,9999,,,,,,
33622,,9993,9993,9993,9993,,10001,,
27364,,8342,,,,,,,
37887,,8571,8571,8571,,,,,
75500,,10000,10000,9998,,,,,
38801,,8203,,,,,,,
26502,,8203,8203,8571,9986,9986,9986,,
33620,,8635,8602,9985,9985,9985,9985,9985,
12692,,9984,8635,8635,8635,8635,,,
46580,,9999,,,,,,,
148336,,9999,9999,9989,,,,,
38789,,9984,9984,9984,9984,,9984,9984,
20445,,9987,9986,9986,9986,9986,,,
38794,,9987,9987,9987,8661,9993,,,
37100,,10000,10000,10000,10000,10000,10000,10000,
38797,,9985,9985,9985,9985,,,8342,
30692,,9985,,8611,9768,,,,
38800,,9985,9993,9993,9993,1773,2186,,
37861,,9985,9985,8571,8571,8571,8571,,
47411,,9985,8342,8342,8342,,,,
35412,,9985,8342,8342,,,,,
39631,,9985,9985,9773,9773,9773,9773,8635,8635
39591,,9985,9985,9985,9772,,,,
148335,,9985,9985,9985,,,9985,9985,9772
37262,,9985,8650,8650,8635,8635,,,
148315,,9985,8203,9985,10252,10252,10252,8650,8650
37038,,9984,9984,,,,,,
32637,,10251,10251,,,,,,
37988,,8342,9993,9993,,,,,
38342,,8342,9984,9984,9984,9984,,,
37979,,8342,8342,8342,8342,,,,
34025,,8342,8342,6351,,,,,
39498,,9987,9987,9987,10233,10233,,,
104378,,9991,9991,9991,8342,,,,
38337,,9991,9991,9991,9984,9984,9984,,
38255,,9991,9991,9989,9989,1773,,,
12473,,9991,9991,9991,8673,8673,,,
104382,,9991,8611,8611,8611,8611,9864,9864,9864
33662,,9991,9991,9991,9984,9984,9984,9984,
38233,,9991,9991,,,,,,
32760,,9991,9911,9989,9989,9994,8475,8475,8475
38229,,9991,8611,8611,9879,9879,8640,9768,9768
12574,,9991,9991,9991,9991,,,,
46335,,9991,9985,9985,10000,10000,9994,9994,10000
39580,,9985,9985,,,,,,
38441,,8342,9985,9985,9985,9985,9985,9985,
131532,,10000,10000,10000,9989,9989,,,
37902,,10000,10000,,,,,,
27838,,9991,9991,,,,,,
41109,,9991,9991,,,,,,
37044,,9991,9991,9991,,,,,
38341,,10001,10001,8526,8526,,,9997,9997
38349,,10001,10001,,,,,,
38339,,10001,10001,10001,10001,,8475,8475,
38343,,10001,10001,10001,10001,,,,
38353,,10001,,,9998,,8573,,
21834,,10001,10001,10001,10001,8475,,,
39848,,10001,10001,10001,,,,,
17883,,10001,10001,,,,,,
50160,,10001,10001,,8203,,,,
37953,,10001,10001,10001,10001,1773,,,
30404,,10001,,,,,,,
156551,,9985,9985,9773,9773,9773,8456,8456,8456
26224,,9985,9989,9998,9998,,,,
38369,,9985,9829,8635,8635,8635,,9850,9850
131403,,9984,,9984,9984,9984,,,
42594,8659,8342,8342,8342,8342,8342,,,
37963,,8342,,1773,1773,,8475,,
26916,,9991,9991,9991,8475,9991,9991,10000,10000
38391,,8635,8635,8635,8635,8635,8635,8635,8635
13131,,9993,9993,9993,8203,8203,8203,,
36849,,9993,9993,9998,9998,9998,274581,1773,1773
36845,,9993,9989,,,,,,
38322,,9993,9993,9993,9803,9803,9803,9803,
38371,,9993,9993,9993,10001,,,,
30910,,9993,9994,9994,9994,9994,,,
38784,,9993,9993,9993,9993,9993,,,
36868,,9993,9993,9993,,,,,
38786,,9993,9993,9993,,,9984,9984,
34334,,9993,9994,9803,9803,9803,,,
104377,,10000,10000,10000,10219,10219,8571,8571,
37971,,8571,8571,8571,10001,,,,
6803,,8571,8571,,,,,,
131404,,8571,10000,8571,8571,,,1773,
38249,,8571,8571,8571,9803,,9803,,
38257,,8571,8571,8571,8571,8571,8571,8571,8571
40521,,8571,8571,8571,10228,10228,9991,9991,9991
149279,,8571,8571,8571,9985,8475,9991,,
39772,,8571,8571,,,,,,
78902,,8571,8571,9998,9998,1773,8475,8475,
38289,,9994,9994,9994,9994,9994,,,
38292,,9994,9994,,,,,,
39594,,9994,9994,,,,,,
25465,,9994,9994,9994,9994,,,,
38273,,9994,9994,9994,9994,9994,,,
38945,,9994,9994,8571,8571,8571,,,
38290,,9994,9994,9994,9994,9994,9994,9994,9994
95609,,9994,9994,9994,9994,,,,
15662,,9994,9994,,,,,,
69629,,9994,9993,,,,,,
43049,,10001,10001,10001,,,,,
67896,,10001,10001,10001,10001,8203,8203,8203,8203
37025,,10001,10001,10001,,,,,
179058,,10001,,,,,,,
182605,,10001,10001,10001,10001,,,,
25619,,10001,9999,,,,,,
39573,,8203,8203,8203,8203,,,,
6800,,8203,8674,8674,8674,10219,10219,,
39389,,8203,8203,8203,8203,8203,,,
38969,,8203,8203,9985,9985,9985,,9987,
178291,,8203,8203,8203,8203,8203,8475,,
17276,,8203,8203,9985,9998,9998,,,
36852,,9993,9993,9993,8475,,,,
178284,,9993,9993,9993,,,,,
25995,,9985,8462,,,,,,
129462,,9985,9985,9985,9904,9904,9904,9904,
32573,,9985,,,,,,,
166618,,9991,9991,9991,9991,10228,,,8573
38778,,8635,10001,10001,1773,8635,9864,10217,
39859,,8571,9803,9803,9803,,8573,,
69713,,8635,8635,8635,,,,,
181276,,8635,8635,8635,8455,8659,8668,8668,8668
36832,8659,8342,8342,8342,8342,8342,8573,8573,
95614,,8342,8342,8571,8571,8571,8571,8571,8571
75405,,8342,8342,8342,8350,,9989,9989,
11569,,9994,9994,,,,,,
14642,,9994,9994,,,,,,
12099,,9994,9994,9994,,,,,
104404,,9994,9994,9994,9994,9994,9994,9994,
166675,,9994,9994,9994,9987,9987,9987,9987,9987
89548,,9984,9984,,,,,,
95615,,8571,8571,8571,8571,8571,8571,8573,8573
69805,,9999,,,,,,,
23997,,9999,9999,,,,,,
173432,,9999,,,,,,,
38791,,8203,,1773,1773,1773,,,
159888,,9985,9985,,,,,,
166302,,9985,9985,9985,9985,,8635,8573,8573
33685,,8525,8571,8571,9991,,10000,10000,
119117,,9985,9985,9985,9985,9985,,9985,9985
178484,,9985,10000,10000,,,,,
166670,,9984,9984,9984,9984,9984,8571,8571,
24037,,9999,,,,,,,
41106,,9993,9993,,,,,,
166584,,10001,,,,,,,
26741,,10000,10000,,,,,,
27421,,9991,9991,9991,9991,,,,
39875,,9991,9991,9993,,,,,
148329,,8571,9991,9991,9991,,8573,8573,274581
148302,,8571,8635,8635,8635,8635,8654,8654,8654
25957,,9985,9788,9788,9788,8226,9985,9987,
38380,,9993,9993,,,,,,
166676,,9993,9993,9993,9925,8466,8466,8466,8466
30934,,9994,9994,9994,9994,9994,9994,9994,
30485,,9994,9994,,,,,,
169200,,9987,9987,9987,8697,8697,8721,8456,8456
163674,,9987,,,,,,,
67952,,8203,8203,8203,8203,8203,,,
67939,,8571,8571,,,,,,
67957,,8203,8203,8203,8203,,10001,10001,
37972,,9985,9985,9997,9997,,,,
39878,,,8342,8342,9998,9998,,,
37868,,9997,8472,8472,8472,8472,8650,8650,8650
38354,,9997,9997,9997,9997,,,,
33595,,9997,9997,,,,,,
3329,,9997,9997,9997,9997,,,,
149150,,9997,9997,8635,8635,8635,9994,9994,9994
37866,,9997,9997,9997,9997,,,,
38347,,9997,9997,9997,,,,,
36836,,9997,9997,,,,,,
45490,,9997,8203,8203,8203,,8573,8475,
38365,,,9997,,,,8573,8573,8573
5016,,9997,9997,9997,10001,,,,
129278,,,9999,,,,,,
106369,,,9999,8177,8177,9905,,,
47410,,10001,10001,10001,10001,,,,
91929,,,9987,9987,9987,9987,9987,9987,
178486,,,9997,9997,1773,1773,9989,,
68120,,9997,9997,9997,9997,,10001,10001,
38795,10229,10229,9985,9985,9985,9904,9904,,
27508,,9905,8342,8342,9993,,,,
166679,,,9993,9993,9993,9986,9986,9986,
166575,,,8342,8342,8342,8342,8342,10233,
107416,,,10000,,,,,,
186621,,,9985,8571,9985,,9991,9991,9991
38799,,,8203,,,,,,
178249,,,9984,8635,10001,,,,
170323,,9987,9987,9906,9906,9906,9906,8455,8455
94462,,9987,9987,9987,,,,,
178276,,,9987,,,,,,
17703,,,9994,9998,9998,9998,10205,9986,9986
38348,,10001,10001,,,,,,
38332,,10001,,,,10265,10265,10265,
149260,,,9997,10000,,,,10218,10218
192907,,,10001,10001,10001,,,,
110140,,9994,9994,9994,,,,,
38435,,9987,9987,9987,10242,10242,4087,10242,10242
31226,,8342,8342,,,,,,
46217,,9999,,,,,,,
66583,,10000,,,,10191,10191,10191,
166663,,10001,,,,,,,
67949,,,6351,9998,9998,9998,9984,9984,
45413,,,6351,8571,8571,9991,8533,8533,8686
181051,,,6351,6351,,,,,
7683,,,6351,6351,9997,,,,
150396,,,6351,6351,,,,,
25751,,,6351,6351,9986,9986,9991,9991,9991
118666,,,6351,,,,,,
181054,,,6351,6351,9994,9994,9986,9986,9986
6771,,,6351,6351,,,,,
39312,,,6351,6351,,,,,
5468,,,6351,6351,,,,,
208984,,,10000,10000,10000,8639,8639,7819,7819
38419,,,10000,10000,10000,,9991,9851,
200631,,,9993,,,,,,
115373,,,9991,9991,9991,,,,
114333,,,8635,8635,10228,10228,,,
37968,,,10001,,,,,,
67890,,,10001,9991,9991,9831,9831,9985,
37967,,8342,10001,,,,,,
131408,,,9993,1773,1773,,8635,,
57078,,8633,9993,9993,,9873,9873,,
150271,,,9993,7730,7730,,,,
69825,,,6351,6351,,,,,
208710,,,6351,6351,,,,,
37841,,,6351,6351,,,,,
38792,,9908,6351,6351,8203,,,,
39180,,,6351,,,,,,
41659,,,6351,6351,,,,,
127191,,,9987,9987,9987,,,,
191787,,,9984,9984,9984,2033,,,
173449,,,9984,9984,9768,9991,9991,9991,9991
197570,,,9984,10001,,,,,
143442,,,8571,8571,,,,10269,10269
164732,,,8571,9991,9991,9991,9987,,
38382,8696,8696,8696,9985,9985,,,9997,9997
26594,,,9989,8525,8342,8342,,8342,
37337,,,9989,,,,,,
174546,,,9989,9989,9989,,,,
149174,,,9989,9989,9989,9989,8426,8426,8426
111973,,,9989,9989,,,,,
39931,,,9989,9989,9989,,,,
127255,,,9989,9989,,,,,
213111,,,9989,9989,9989,9989,2182,,
24111,,,9989,9989,,,,,
33098,,,9989,9989,,,,,
51841,,,8342,8342,9905,9905,9905,9905,8262
45500,8674,8674,9994,9994,9761,9761,9761,9761,
25791,,,9994,9994,9994,9994,9994,9994,9994
104406,,,9994,9994,9994,9994,,,
24621,,,9994,9994,9994,,,,
39890,,,9997,,,,,,
36522,,,9997,9997,9997,,,,9997
25749,,9908,9997,,,,,,
38439,,,9997,9997,9997,,,,
181053,,,9997,,,,,,
40768,,,9997,9997,,,,,
80184,,,8203,8203,8203,8020,8020,,
37839,,,10001,10001,,,,,
108807,,10228,10228,10001,,,,,
21726,,,9991,9991,9991,,10000,8635,
181842,,,9991,9991,9991,9991,9991,9991,9997
46877,9830,9830,10000,10000,9991,9991,,,
208986,,,10000,10000,10000,8475,,,
98407,,,10000,10000,,,,,
101426,,,6351,,,,,,
111858,,,9985,9985,9985,9985,,,8406
94553,,,8635,8635,10192,,10192,10192,10192
69653,,,8635,8635,8635,8635,8635,,
42706,,10219,9994,9994,9994,9987,9987,9987,10001
39625,,8571,8571,8571,8571,8571,9991,274581,274581
40677,8682,8682,6351,,,,,,
186188,,,6351,6351,,,,,
178096,,,9991,9991,9991,,,,
26260,,,9991,9991,9991,9998,,,
20747,,,9989,9989,9989,9985,9985,,9938
38788,,,9989,9989,9989,,,,
181073,,,9989,9989,9989,9989,,,
148325,,9985,9985,8571,9987,9987,,,10001
38434,,,8571,8571,,,,,
