team_id,2008,2009,2010,2011,2012,2013,2014,2015,2016
1601,[],[],[],[],[],"[488960, 69254, 116872, 115724, 178702, 178196, 275751, 138159, 68786, 105526, 282168, 68802, 30275, 30278, 393287, 306522, 306523, 13405, 287341, 69619, 206844]","[488960, 30275, 69254, 393287, 168232, 30278, 275751, 115724, 287341, 309868, 459662, 154928, 68786, 69619, 282168, 306522, 206844, 13405]","[488960, 465568, 69346, 30275, 463810, 69254, 393287, 30278, 72489, 115724, 13390, 154928, 69619, 275765, 502645, 502648, 294490, 433627, 68732, 13405]","[465568, 118530, 30275, 69346, 463810, 69254, 393287, 30278, 72489, 555650, 68877, 277936, 275765, 502645, 294490, 68732]"
1773,[],[],[],"[287232, 181569, 38791, 45865, 37993, 37963, 37865, 131408, 45840, 68114, 38323, 94419, 149173, 24149, 277840, 38777, 39578, 37981]","[287232, 181569, 186918, 38791, 39335, 36841, 256198, 37963, 131408, 45840, 68114, 38323, 94419, 149173, 178486, 277840, 39578, 37051, 38778]","[287232, 37953, 181569, 98368, 186918, 38791, 39335, 38793, 181066, 256198, 38255, 38800, 149173, 78902, 178486, 39578]",[],"[303202, 15938, 419238, 179783, 11336, 37993, 280968, 409000, 131404, 364813, 120110, 239599, 105680, 36849, 318615, 197848, 38777, 148829, 26078]","[181569, 15938, 164229, 280134, 179783, 11336, 280968, 120110, 105680, 36849, 318615, 38777, 26078]"
1957,[],[],[],[],[],"[114816, 79241, 68762, 34225, 450740, 432825, 279865, 429893, 495942, 38727, 173385, 429899, 31437, 249550, 38999, 210015, 50657, 13538, 206822, 277487, 281840, 361712, 361714, 39798, 139775]","[114816, 116872, 79241, 412056, 68762, 545065, 560564, 89653, 450742, 432825, 279865, 429893, 495942, 38727, 173385, 31437, 249550, 71894, 210015, 13538, 206822, 179311, 281840, 277487, 361714, 361712, 139775]","[114816, 69637, 116872, 79241, 139775, 69261, 308631, 545065, 69553, 560564, 206901, 450742, 450740, 558136, 432825, 38727, 173385, 249550, 155611, 89827, 179311, 281840, 277487, 402419, 16511]","[308631, 89827, 69637, 264743, 79241, 196172, 69261, 277487, 263952, 69553, 402419, 560564, 206901, 450742, 139895, 450740, 558136, 155611, 16511]"
2033,[],"[163999, 164001, 181347, 26853, 163998, 11788, 25933, 163995, 163981, 145584, 150036, 163989, 43285, 25108, 97496, 40955, 40956, 164093, 40606, 40959]","[150024, 11788, 40976, 164115, 150036, 163989, 43285, 25108, 43289, 163995, 163998, 163999, 164001, 145584, 150322, 149959, 11726, 97496, 11865, 185945, 171995, 185949, 97508, 26853, 45307, 164212, 40955, 40956, 164093, 40959]","[40967, 150024, 163981, 164115, 25108, 163989, 43285, 43289, 163998, 163999, 164001, 79274, 191788, 45357, 245423, 214449, 158783, 171968, 96840, 96968, 11726, 11865, 185949, 124127, 26853, 96615, 171242, 183544, 35453]","[164227, 281862, 40967, 150024, 30855, 42773, 362261, 43289, 163998, 191788, 45357, 245423, 214449, 150707, 281338, 158783, 171968, 96968, 201929, 11726, 289884, 185949, 124127, 102626, 26853, 96615, 171242, 239594, 18549, 45306]","[281862, 40967, 150024, 119305, 30855, 42773, 362261, 181911, 163605, 43289, 351127, 187287, 428063, 181921, 429224, 191787, 245423, 150707, 45241, 242874, 158783, 181194, 190027, 11726, 478418, 289884, 231133, 102626, 26853, 171242, 45306, 239594, 160628, 18549, 30710, 481656, 281338, 181375]","[181921, 26853, 30855, 119305, 181194, 190027, 25549, 31725, 24013, 351127, 187287, 478418, 299411, 25108, 42773, 181911, 481656, 158783]",[],[]
2182,[],[],"[15361, 79747, 13480, 69256, 74827, 114827, 78413, 13486, 79982, 13428, 39798, 138171]","[15361, 79747, 189190, 13480, 13481, 184618, 74827, 114827, 78413, 79982, 69101, 13320, 69256, 156534, 186968, 179289, 138171]","[15361, 79747, 189190, 13320, 13449, 114827, 266279, 13480, 13481, 13486, 138171, 361403, 74827, 78413, 198099, 186968, 179289, 34266, 71775, 274156, 69101, 79982, 156534]","[15361, 189190, 13320, 13449, 114827, 266279, 13481, 361403, 74827, 78413, 186968, 179289, 69594, 34266, 71775, 206694, 69479, 274156, 69101, 7284, 490868, 156534, 306174]","[15361, 115585, 189190, 13320, 13449, 121225, 114827, 502543, 266279, 13481, 75578, 361403, 142282, 74827, 78413, 304855, 179289, 69594, 150239, 206694, 69479, 355434, 274156, 7284, 490868, 213111, 306174]","[30977, 15361, 115585, 189190, 212870, 13449, 121225, 114827, 502543, 73116, 75578, 361403, 142282, 473937, 304855, 179289, 69594, 71775, 419681, 69479, 355434, 274156, 37104, 361714, 7284, 306174]","[30977, 15361, 419681, 728478, 361403, 189190, 69479, 75398, 13449, 274156, 502543, 157490, 361714, 150239, 304855, 75578, 38907, 73116, 306174, 71775]"
2183,[],[],[],"[69244, 163618, 206694, 13449, 27371, 69485, 13454, 13551, 178196, 43317, 10933, 69238, 69018, 68796]",[],[],[],[],[]
2186,[],[],[],[],[],"[13504, 45473, 309890, 249059, 140932, 68773, 252677, 480964, 39400, 27052, 299021, 69518, 33807, 196238, 150809, 13436, 69599]","[309890, 252677, 433675, 69518, 33807, 38800, 196238, 71063, 150809, 68768, 45473, 68773, 357288, 237610, 27052, 68782, 92222, 13504, 154433, 480964, 69599, 249059, 208743, 39400, 13436]","[114822, 174855, 433675, 502539, 69518, 196238, 150809, 210978, 357288, 13481, 237610, 68782, 182075, 275771, 92222, 13504, 154433, 480964, 36050, 13533, 208743, 115190, 13436]","[154433, 210978, 249059, 480964, 114822, 13481, 237610, 433675, 502539, 196238, 351055, 488445, 36050, 150809, 275771, 13533, 92222]"
4049,[],[],[],[],[],[],[],[],[]
4064,[],[],[],"[164098, 164099, 164105, 164107, 193805, 150044, 45359, 185918, 98374, 96839, 163665, 91473, 97496, 164062, 29036, 22125, 280940, 280943, 280942, 281200, 164470]","[164098, 164099, 98374, 96839, 164105, 164106, 164107, 29036, 22125, 280940, 45359, 280943, 163665, 91473, 280942, 268586, 280944, 150044, 164062, 185918]",[],[],[],[]
4087,[],[],[],"[148832, 210691, 211139, 210694, 35560, 26410, 41194, 95597, 279181, 46701, 160370, 71603, 46708, 46261, 38805, 21751, 192319, 74169, 26333, 93343]","[210691, 210692, 192132, 210694, 279181, 38805, 26390, 30749, 93343, 185000, 32937, 71603, 46261, 74169, 192319, 211139, 352842, 35408, 26333, 148832, 35560, 41194, 95597, 46701, 160370, 46708, 21751, 34045]","[210691, 210692, 210694, 38805, 26390, 93343, 249761, 185000, 71603, 74169, 192319, 400962, 18628, 210118, 352842, 26333, 148832, 92263, 170344, 467689, 41194, 95597, 25329, 46708, 230900, 21751, 34045]","[210691, 210692, 210694, 317062, 288783, 26130, 30739, 93343, 38435, 185000, 35121, 71603, 179891, 74169, 192319, 400962, 18628, 196805, 26333, 92263, 170344, 467689, 41194, 95597, 40558, 25329, 181619, 46708, 230900, 38907]","[317062, 288783, 187669, 210466, 185000, 35121, 71603, 179891, 74169, 192319, 179522, 400962, 212697, 26333, 610533, 92263, 467689, 41194, 40558, 181619, 46708, 230900, 38907]",[]
4170,[],"[69509, 143750, 107408, 33424, 165528, 95513, 176801, 93346, 93347, 93348, 93350, 186918, 93353, 33452, 93996, 93356, 19014, 26211, 72424, 25852, 5631]","[69509, 143750, 50044, 26383, 107408, 33424, 41877, 26265, 93341, 176801, 93346, 93347, 93348, 93350, 186918, 93353, 33452, 93996, 93356, 186805, 19014, 134221, 26211, 72424, 25852, 5631]",[],[],[],[],[],[]
6269,[],[],[],"[74305, 39298, 5223, 39423, 74542, 41136, 41394, 92532, 42005, 159606, 41045, 42393, 39743]","[39298, 27664, 41489, 26257, 39569, 37522, 42005, 42393, 39706, 74542, 39743, 74305, 41045, 202341, 39271, 5223, 42091, 196205, 92532, 159606, 39423]",[],[],[],[]
6351,[],[],"[7683, 155268, 38792, 118666, 39180, 39312, 25751, 39984, 101426, 181051, 41659, 181054, 69825, 208710, 186188, 37841, 5468, 45413, 40677, 67949, 6771, 37367, 150396]","[69825, 7683, 155268, 208710, 38792, 34025, 186188, 39312, 37841, 6771, 25751, 5468, 181051, 150396, 41659, 181054]",[],[],[],[],[]
6367,[],[],[],[],[],[],[],"[209312, 667968, 52160, 570468, 200871, 280906, 209099, 46635, 185709, 281323, 568589, 97331, 668820, 523414, 525595]","[67329, 163985, 668820, 523414, 525595, 209312, 200871, 362665, 46635, 97331, 242877, 306239, 11840, 667968, 186687, 280906, 209099, 673749, 581726, 522846, 570468, 281323, 185709, 281330, 164472, 303227]"
6391,[],[],[],[],[],[],[],"[25856, 41216, 466143, 311009, 208676, 38951, 409193, 354491, 426670, 303025, 187666, 607121, 179516, 41240, 196186, 36123, 160220, 103485, 311003, 303359]","[25856, 41216, 466143, 303359, 208676, 311009, 409193, 354491, 426670, 108525, 303025, 187666, 41236, 179516, 41240, 196186, 36123, 160220, 311003, 265727]"
